1,"HD 450BT
",1.png,8,SENNHEISER,2,7000,200,10,5,null,全新的 HD 450BT. 造就絕佳的無線音色表現。,2020/5/4 23:14,2020/5/4 23:14
2,HD 350BT,2.png,8,SENNHEISER,2,4000,100,5,5,null,在旅途中或在家中，都能透過 HD 350BT. 享受絕佳的無線音頻。,2020/5/4 23:14,2020/5/4 23:14
3,PXC 550-II Wireless,3.png,8,SENNHEISER,2,11000,150,5,5,null,新款PXC 550-II無線耳機，優美的聲音質量，更出色的出行體驗。,2020/5/4 23:14,2020/5/4 23:14
4,MOMENTUM Wireless,4.png,8,SENNHEISER,2,14000,100,10,5,null,新款MOMENTUM Wireless無線耳機，人性化設計，優越聲音品質。,2020/5/4 23:14,2020/5/4 23:14
5,PXC 550 Wireless,5.png,8,SENNHEISER,2,8000,50,5,5,null,Sennheiser PXC 550 Wireless將每一次旅程變成一流的體驗,2020/5/4 23:14,2020/5/4 23:14
6,HD4.40BT,6.png,8,SENNHEISER,2,4000,100,50,5,null,新推出的Sennheiser HD4.40BT無線耳機提供了高質量的無線聲音信號,2020/5/4 23:14,2020/5/4 23:14
7,MOMENTUM 2 Wireless Black,7.png,8,SENNHEISER,2,12500,100,20,5,null,獨家主動降噪技術為你帶來頂尖的聲學表現。,2020/5/4 23:14,2020/5/4 23:14
8,"MOMENTUM On-Ear Wireless
",8.png,8,SENNHEISER,2,16000,50,10,5,null,同時支援藍牙?無線科技 及混合式主動降噪技術,2020/5/4 23:14,2020/5/4 23:14
9,"RS 195
",9.png,8,SENNHEISER,2,19500,50,5,5,null,有了RS 195，你可重新體驗音樂帶來的無窮樂趣,2020/5/4 23:14,2020/5/4 23:14
10,RS 185,10.png,8,SENNHEISER,2,15000,50,10,5,null,能手動調節聲音精確度的耳筒系統，高要求用家的無線選擇。,2020/5/4 23:14,2020/5/4 23:14
11,"RS 175-U
",11.png,8,SENNHEISER,2,12000,100,30,5,null,有著震撼低頻和環迴立體聲的耳筒系統，更有趣的家居影音體驗!,2020/5/4 23:14,2020/5/4 23:14
12,MM 450-X TRAVEL,12.png,8,SENNHEISER,2,17500,50,10,5,null,由於封閉式耳罩設計加強了被動降噪功能，你可以安心地聽音樂，而不用擔心打擾周圍的乘客,2020/5/4 23:14,2020/5/4 23:14
13,"HD 400S
",13.png,8,SENNHEISER,1,3000,1000,150,5,null,能方便地播放音樂和接聽電話，紮實的折疊設計讓這款耳機不僅堅固耐用,2020/5/4 23:14,2020/5/4 23:14
14,"HD 300
",14.png,8,SENNHEISER,1,2500,500,50,5,null,換能器單元確保了聲音保持良好的平衡，以及強勁有力的動感低頻響應。,2020/5/4 23:14,2020/5/4 23:14
15,HD 660 S Apogee,15.png,8,SENNHEISER,1,13500,100,20,5,null,Apogee Groove提供的一款USB DAC（數位類比轉換器）及耳機放大器,2020/5/4 23:14,2020/5/4 23:14
16,"HD 300 PRO
",16.png,8,SENNHEISER,1,8900,50,10,5,null,HD 300 PRO監聽耳機最新研發的聲學系統，確保其能夠提供一個自然中性、細膩精確的聲音播放,2020/5/4 23:14,2020/5/4 23:14
17,"HD 660S
",17.png,8,SENNHEISER,1,14900,50,20,5,null,Sennheiser的新型HD 660S是充滿激情的發燒友的理想開放式動態耳機。,2020/5/4 23:14,2020/5/4 23:14
